status	key	command
Composition	Backspace	Backspace
Conversion	Backspace	Cancel
Precomposition	Backspace	Revert
DirectInput	Ctrl [	CancelAndIMEOff
Precomposition	Ctrl [	CancelAndIMEOff
Composition	Ctrl [	CancelAndIMEOff
Conversion	Ctrl [	CancelAndIMEOff
Suggestion	Ctrl [	CancelAndIMEOff
Prediction	Ctrl [	CancelAndIMEOff
Composition	Ctrl a	MoveCursorToBeginning
Conversion	Ctrl a	SegmentFocusFirst
Conversion	Ctrl b	SegmentFocusLeft
Composition	Ctrl b	MoveCursorLeft
Composition	Ctrl Backspace	Backspace
Conversion	Ctrl Backspace	Cancel
Precomposition	Ctrl Backspace	Undo
Composition	Ctrl d	SegmentWidthShrink
Conversion	Ctrl d	SegmentWidthShrink
Prediction	Ctrl Delete	DeleteSelectedCandidate
Composition	Ctrl Down	MoveCursorToEnd
Conversion	Ctrl Down	CommitOnlyFirstSegment
Composition	Ctrl e	MoveCursorToEnd
Conversion	Ctrl e	SegmentFocusLast
Composition	Ctrl Enter	Commit
Conversion	Ctrl Enter	Commit
Composition	Ctrl f	MoveCursorRight
Conversion	Ctrl f	SegmentFocusRight
Composition	Ctrl h	Backspace
Conversion	Ctrl h	Backspace
Composition	Ctrl k	Commit
Conversion	Ctrl k	Commit
Composition	Ctrl Left	MoveCursorToBeginning
Conversion	Ctrl Left	SegmentFocusFirst
Composition	Ctrl m	Commit
Conversion	Ctrl m	Commit
Composition	Ctrl n	PredictAndConvert
Conversion	Ctrl n	ConvertNext
Composition	Ctrl p	PredictAndConvert
Conversion	Ctrl p	ConvertPrev
Composition	Ctrl Right	MoveCursorToEnd
Conversion	Ctrl Right	SegmentFocusLast
Composition	Ctrl Shift Space	InsertFullSpace
Conversion	Ctrl Shift Space	InsertFullSpace
Precomposition	Ctrl Shift Space	InsertFullSpace
Composition	Ctrl Space	InsertHalfSpace
Conversion	Ctrl Space	InsertHalfSpace
Composition	Ctrl t	SegmentWidthExpand
Conversion	Ctrl t	SegmentWidthExpand
Composition	Ctrl u	Cancel
Conversion	Ctrl u	Cancel
Composition	Ctrl Up	MoveCursorToBeginning
Conversion	Ctrl Up	ConvertPrev
Composition	Ctrl z	Cancel
Conversion	Ctrl z	Cancel
Composition	Delete	Delete
Conversion	Delete	Cancel
Composition	Down	MoveCursorToEnd
Conversion	Down	ConvertNext
Suggestion	Down	PredictAndConvert
DirectInput	Muhenkan	IMEOff
Precomposition	Muhenkan	IMEOff
Composition	Muhenkan	IMEOff
Conversion	Muhenkan	IMEOff
DirectInput	Henkan	IMEOn
Precomposition	Henkan	IMEOn
Composition	Henkan	IMEOn
Conversion	Henkan	IMEOn
Composition	End	MoveCursorToEnd
Conversion	End	SegmentFocusLast
Composition	Enter	Commit
Conversion	Enter	Commit
Composition	ESC	Cancel
Conversion	ESC	Cancel
Precomposition	Escape	CancelAndIMEOff
Composition	F10	ConvertToHalfAlphanumeric
Conversion	F10	ConvertToHalfAlphanumeric
DirectInput	F13	IMEOn
Composition	F2	ConvertWithoutHistory
Composition	F6	ConvertToHiragana
Conversion	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Conversion	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Conversion	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Conversion	F9	ConvertToFullAlphanumeric
Composition	Home	MoveCursorToBeginning
Conversion	Home	SegmentFocusFirst
Composition	Left	MoveCursorLeft
Conversion	Left	SegmentFocusLeft
Conversion	PageDown	ConvertNextPage
Conversion	PageUp	ConvertPrevPage
Composition	Right	MoveCursorRight
Conversion	Right	SegmentFocusRight
Composition	Shift Backspace	Backspace
Conversion	Shift Backspace	Cancel
Conversion	Shift Down	ConvertNextPage
Suggestion	Shift Enter	CommitFirstSuggestion
Composition	Shift ESC	Cancel
Conversion	Shift ESC	Cancel
Conversion	Shift Henkan	ConvertPrev
Composition	Shift Left	MoveCursorLeft
Conversion	Shift Left	SegmentWidthShrink
Composition	Shift Muhenkan	ConvertToFullAlphanumeric
Conversion	Shift Muhenkan	ConvertToFullAlphanumeric
Precomposition	Shift Muhenkan	ToggleAlphanumericMode
Composition	Shift Right	MoveCursorRight
Conversion	Shift Right	SegmentWidthExpand
Composition	Shift Space	Convert
Conversion	Shift Space	ConvertPrev
Precomposition	Shift Space	InsertAlternateSpace
Conversion	Shift Tab	ConvertPrev
Conversion	Shift Up	ConvertPrevPage
Composition	Space	Convert
Conversion	Space	ConvertNext
Precomposition	Space	InsertSpace
Composition	Tab	PredictAndConvert
Conversion	Tab	PredictAndConvert
Conversion	Up	ConvertPrev
Composition	ASCII	InsertCharacter
Composition	Kanji	IMEOff
Composition	OFF	IMEOff
Composition	ON	IMEOn
Conversion	Kanji	IMEOff
Conversion	OFF	IMEOff
Conversion	ON	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	ON	IMEOn
Precomposition	ASCII	InsertCharacter
Precomposition	Kanji	IMEOff
Precomposition	OFF	IMEOff
Precomposition	ON	IMEOn
